product,variant,prompt,filename
business-cards,standard,"Professional product photography of business cards, 16pt matte cardstock, stack of 10 cards slightly fanned out, showing thickness from side angle, simple corporate design visible, on clean white background, studio lighting, 45-degree angle, high resolution, commercial photography style",business-cards_standard.jpg
business-cards,premium,"Professional product photography of premium business cards, 32pt thick cardstock with glossy UV coating, stack showing ultra-thick edges, light reflecting off glossy surface, elegant real estate design visible, on clean white background, studio lighting, shallow depth of field, commercial photography",business-cards_premium.jpg
business-cards,luxury,"Professional product photography of luxury business cards, 38pt triple-layer cards with gold foil stamping, visible embossed elements catching light, colored edges (gold or black), held in hand showing premium thickness, white background, professional lighting, high-end commercial style",business-cards_luxury.jpg
business-cards,economy,"Professional product photography of economy business cards, 14pt standard cardstock, simple matte finish, basic design, slightly bendable card shown, budget-friendly appearance, on white background, even lighting, commercial photography",business-cards_economy.jpg
banners,vinyl,"Professional photography of vinyl banner hanging outdoors, 13oz glossy vinyl material, Grand Opening text visible, grommets and reinforced edges shown, banner gently waving in breeze, storefront background softly blurred, bright daylight, commercial photography",banners_vinyl.jpg
banners,mesh,"Professional photography of mesh banner on construction fence, perforated material allowing wind through, construction site backdrop, Coming Soon messaging, heavy-duty grommets visible, outdoor setting, natural lighting, commercial real estate photography",banners_mesh.jpg
banners,fabric,"Professional photography of fabric banner at indoor trade show, smooth polyester material, vibrant colors, hanging from ceiling mount, trade show booth environment, professional lighting, slight fabric texture visible, commercial event photography",banners_fabric.jpg
banners,retractable,"Professional photography of retractable banner stand fully extended, aluminum base visible, banner material taut, Open House real estate design, office lobby setting, showing portability and professional appearance, studio lighting",banners_retractable.jpg
yard-signs,standard,"Professional photography of standard yard sign, 18x24 corrugated plastic, H-stake frame installed in grass, For Sale real estate sign, residential lawn setting, natural daylight, showing durability and visibility",yard-signs_standard.jpg
yard-signs,premium,"Professional photography of premium yard sign, thick aluminum composite, heavy-duty steel frame, professional real estate branding, manicured lawn setting, golden hour lighting, showing superior quality and stability",yard-signs_premium.jpg
yard-signs,double-sided,"Professional photography of double-sided yard sign, showing both sides with different messages, sturdy installation, real estate agent contact info visible, suburban setting, clear visibility from multiple angles",yard-signs_double-sided.jpg
retractable-banners,economy,"Professional photography of economy retractable banner, basic aluminum stand, banner fully extended, simple design, trade show floor setting, showing portability and function, even lighting",retractable-banners_economy.jpg
retractable-banners,standard,"Professional photography of standard retractable banner, sturdy base with stabilizing feet, professional graphics, real estate agency branding, office lobby setting, showing stability and quality",retractable-banners_standard.jpg
retractable-banners,premium,"Professional photography of premium retractable banner, heavy-duty mechanism, wide base, luxury real estate marketing, high-end hotel lobby setting, dramatic lighting, showing premium quality",retractable-banners_premium.jpg
retractable-banners,deluxe,"Professional photography of deluxe retractable banner, double-sided display capability, LED lighting attachment, premium materials, convention center setting, professional showcase lighting",retractable-banners_deluxe.jpg
flyers,standard,"Professional photography of standard flyers, 100lb glossy paper, stack of colorful real estate flyers, top flyer slightly lifted showing flexibility, property listings visible, on white background, studio lighting, commercial print photography",flyers_standard.jpg
flyers,premium,"Professional photography of premium flyers, thick cardstock with matte finish, elegant design, held in hand showing substantial feel, high-quality printing visible, real estate luxury property featured, white background, professional lighting",flyers_premium.jpg
flyers,glossy,"Professional photography of glossy flyers, high-gloss UV coating, light reflecting off surface, vibrant color saturation, stack with fanned arrangement, real estate marketing design, white background, studio lighting highlighting gloss finish",flyers_glossy.jpg
brochures,bi-fold,"Professional photography of bi-fold brochure, partially opened showing inside spread, quality paper stock, real estate property showcase design, standing upright and laying flat examples, white background, studio lighting, commercial photography",brochures_bi-fold.jpg
brochures,tri-fold,"Professional photography of tri-fold brochure, multiple angles showing folded and partially unfolded states, professional real estate marketing design, visible panels with property images, white background, even lighting, print photography style",brochures_tri-fold.jpg
brochures,z-fold,"Professional photography of z-fold brochure, accordion-style fold visible, standing on edge showing unique fold pattern, real estate floor plans visible, creative presentation angle, white background, professional lighting",brochures_z-fold.jpg
posters,small-format,"Professional photography of 18x24 poster, mounted on foam board, real estate property showcase, held by hands for scale, crisp printing quality visible, slight angle showing thickness, white background, studio lighting",posters_small-format.jpg
posters,large-format,"Professional photography of 36x48 poster, rolled partially with corner unrolled, real estate development rendering visible, high-quality print on premium paper, studio setting, professional lighting, commercial photography",posters_large-format.jpg
posters,custom,"Professional photography of custom size poster, unique dimensions, hanging on wall with modern frame, real estate branding visible, office environment, natural lighting, showing professional installation",posters_custom.jpg
table-cloths,6ft,"Professional photography of 6-foot custom table cloth, draped on standard table, company logo prominently displayed, trade show setting, wrinkle-free polyester, vibrant colors, commercial event photography",table-cloths_6ft.jpg
table-cloths,8ft,"Professional photography of 8-foot custom table cloth, full coverage to floor, professional printing, real estate company branding, conference setting, showing professional appearance and fit",table-cloths_8ft.jpg
table-cloths,custom,"Professional photography of custom-fit table cloth, unique table shape, fitted corners, premium fabric, elegant event setting, showing versatility and custom options",table-cloths_custom.jpg
window-clings,standard,"Professional product photography of window clings, clear static cling material, applied to glass storefront window, real estate Now Open message visible, showing easy repositioning, interior view with natural lighting, commercial photography",window-clings_standard.jpg
window-clings,custom,"Professional product photography of custom die-cut window clings, unique shapes, colorful designs, multiple clings arranged on white surface, showing versatility, studio lighting, product showcase style",window-clings_custom.jpg
stickers,vinyl,"Professional product photography of vinyl stickers, waterproof material, various sizes shown, real estate logo designs, some applied to laptop and water bottle, studio setting, showing durability and versatility",stickers_vinyl.jpg
stickers,custom-shapes,"Professional product photography of custom die-cut stickers, unique shapes, house and key designs for real estate, arranged on white background, showing precision cutting, vibrant colors, commercial style",stickers_custom-shapes.jpg
stickers,weather-resistant,"Professional product photography of weather-resistant stickers, outdoor application on car window, real estate branding visible, water droplets on surface showing waterproof quality, natural outdoor lighting",stickers_weather-resistant.jpg
presentation-folders,standard,"Professional product photography of presentation folders, two-pocket design, business card slits, real estate company branding, partially open showing interior pockets, documents visible, white background, commercial style",presentation-folders_standard.jpg
presentation-folders,business-card-slits,"Professional product photography of presentation folders with integrated business card holders, professional design, real estate branding, showing card placement feature, studio lighting, business presentation context",presentation-folders_business-card-slits.jpg
presentation-folders,custom,"Professional product photography of custom die-cut presentation folders, unique window cutouts, premium finishes, real estate luxury branding, creative design elements visible, professional photography style",presentation-folders_custom.jpg
aluminum-signs,18x24,"Professional product photography of 18x24 aluminum sign, brushed metal finish, real estate For Lease messaging, mounted on brick wall, showing durability and professional appearance, outdoor commercial setting",aluminum-signs_18x24.jpg
aluminum-signs,24x36,"Professional product photography of 24x36 aluminum sign, larger format, commercial real estate information, standing display with posts, parking lot setting, showing visibility and weather resistance",aluminum-signs_24x36.jpg
aluminum-signs,custom,"Professional product photography of custom size aluminum sign, unique dimensions, architectural mounting, real estate development branding, modern building entrance, professional installation visible",aluminum-signs_custom.jpg
foam-board,standard,"Professional product photography of standard foam board sign, smooth white surface, lightweight material, indoor display application, easel-back stand visible, office presentation setting, even lighting",foam-board_standard.jpg
foam-board,premium,"Professional product photography of premium foam board, dense foam core, superior print quality visible, gallery display quality, professional mounting shown, art exhibition setting",foam-board_premium.jpg
corrugated,4mm,"Professional product photography of 4mm corrugated plastic sign, showing fluted texture, lightweight flexibility, real estate directional sign example, hand holding edge to show thickness, white background, studio lighting",corrugated_4mm.jpg
corrugated,6mm,"Professional product photography of 6mm corrugated plastic, thicker profile visible from edge, more rigid structure, outdoor signage application, showing durability and weather resistance, professional product photography",corrugated_6mm.jpg
pvc-board,standard,"Professional product photography of PVC board sign, smooth matte finish, real estate directional signage, showing rigidity and weather resistance, outdoor installation, commercial photography",pvc-board_standard.jpg
pvc-board,premium,"Professional product photography of premium PVC board, thicker profile, high-quality printing, real estate property showcase, architectural mounting, showing durability and professional finish",pvc-board_premium.jpg
styrene,standard,"Professional product photography of styrene sign, lightweight material, real estate window display, showing flexibility, indoor application, retail environment, professional lighting",styrene_standard.jpg
styrene,premium,"Professional product photography of premium styrene, thicker gauge, real estate presentation board, easel display, office setting, showing professional appearance and versatility",styrene_premium.jpg
acrylic,clear,"Professional product photography of clear acrylic sign, glass-like appearance, real estate office suite number, wall mounted with standoffs, showing transparency and elegance, modern office setting",acrylic_clear.jpg
acrylic,colored,"Professional product photography of colored acrylic sign, frosted or tinted finish, real estate company logo, backlit effect, reception area setting, showing premium quality",acrylic_colored.jpg
flags,feather,"Professional product photography of feather flag, tall curved design, Open House real estate message, outdoor setting with flag in motion, showing movement and visibility, natural lighting",flags_feather.jpg
flags,rectangle,"Professional product photography of rectangular flag, traditional flag shape, real estate company branding, mounted on pole, business entrance setting, flag extended in breeze, commercial photography",flags_rectangle.jpg
flags,teardrop,"Professional product photography of teardrop flag, unique shape, portable base visible, real estate event setting, multiple flags creating branded environment, outdoor natural lighting",flags_teardrop.jpg
channel-lettering,standard,"Professional product photography of channel letters, 3D dimensional letters, REALTY text, mounted on building facade, daytime view showing depth and shadows, architectural photography style",channel-lettering_standard.jpg
channel-lettering,led,"Professional product photography of LED channel letters, illuminated from within, real estate office signage, twilight setting showing glow effect, professional architectural photography, dramatic lighting",channel-lettering_led.jpg
3d-lettering,standard,"Professional product photography of 3D letters, acrylic or metal construction, SOLD text for real estate, office wall mounting, showing dimensional depth, professional interior setting, studio lighting",3d-lettering_standard.jpg
3d-lettering,premium,"Professional product photography of premium 3D lettering, brushed metal finish, thick profile, real estate company name, lobby installation, showing craftsmanship and quality, architectural photography",3d-lettering_premium.jpg
light-boxes,standard,"Professional product photography of standard light box, LED backlit display, real estate listings visible, wall-mounted in office window, evening shot showing illumination, commercial property setting",light-boxes_standard.jpg
light-boxes,led,"Professional product photography of LED light box, ultra-bright display, double-sided option, real estate property showcase, modern frame design, showing even light distribution, professional setting",light-boxes_led.jpg
magnets,standard,"Professional product photography of car magnets, flexible magnetic material, real estate agent contact info, shown on vehicle door, outdoor setting, demonstrating easy application and removal",magnets_standard.jpg
magnets,custom,"Professional product photography of custom shaped magnets, die-cut house shapes, real estate promotional items, various sizes on metal surface, studio setting, showing versatility",magnets_custom.jpg
a-frames,standard,"Professional product photography of standard A-frame sign, sidewalk placement, Open House Today real estate message, residential setting, showing portability and visibility, natural lighting",a-frames_standard.jpg
a-frames,premium,"Professional product photography of premium A-frame sign, heavy-duty construction, changeable letter board or insert panels, real estate office entrance, showing quality and durability",a-frames_premium.jpg
pens,basic,"Professional product photography of basic promotional pens, plastic construction, real estate company branding, multiple colors displayed, arranged in organized pattern, white background, commercial style",pens_basic.jpg
pens,premium,"Professional product photography of premium pens, metal construction, engraved real estate logo, gift box presentation, executive desk setting, showing quality and professionalism",pens_premium.jpg
pens,metal,"Professional product photography of metal pens, brushed aluminum or brass finish, laser engraved branding, elegant presentation, business context with notepad, professional lighting",pens_metal.jpg
tents,10x10,"Professional product photography of 10x10 event tent, real estate company branding on canopy, outdoor event setting, fully set up with sidewalls, showing portability and professional appearance",tents_10x10.jpg
tents,10x15,"Professional product photography of 10x15 event tent, larger format, real estate open house event, multiple branded elements, outdoor residential setting, natural lighting",tents_10x15.jpg
tents,10x20,"Professional product photography of 10x20 event tent, commercial size, real estate expo setup, professional display environment, showing scale and brand presence",tents_10x20.jpg
booths,standard,"Professional product photography of standard trade show booth, 10x10 space, real estate company display, backdrop and table setup, convention center environment, professional lighting",booths_standard.jpg
booths,premium,"Professional product photography of premium trade show booth, custom design elements, real estate technology displays, interactive features visible, upscale exhibition setting",booths_premium.jpg
bags,tote,"Professional product photography of tote bags, canvas material, real estate company logo printed, multiple colors shown, one filled with documents, studio setting, commercial style",bags_tote.jpg
bags,drawstring,"Professional product photography of drawstring bags, lightweight material, real estate event giveaway, various colors displayed, showing functionality, white background",bags_drawstring.jpg
bags,messenger,"Professional product photography of messenger bags, professional style, embroidered real estate logo, laptop compartment visible, business context, quality materials shown",bags_messenger.jpg
branded-apparel,t-shirts,"Professional product photography of branded t-shirts, folded and hanging display, company logo embroidered, multiple colors shown, retail display setting, clean presentation, commercial apparel photography",branded-apparel_t-shirts.jpg
branded-apparel,polos,"Professional product photography of branded polo shirts, professional embroidery on chest, premium fabric quality visible, business casual presentation, office environment backdrop, professional lighting",branded-apparel_polos.jpg
branded-apparel,hoodies,"Professional product photography of branded hoodies, screen printed logo, comfortable fit shown on mannequin, multiple color options, casual professional setting, lifestyle product photography",branded-apparel_hoodies.jpg
branded-apparel,hats,"Professional product photography of branded caps, embroidered logo on front, structured and unstructured styles, display arrangement, clean background, showing quality and variety",branded-apparel_hats.jpg
photos,standard,"Professional product photography of photo prints, glossy finish, real estate property photos, multiple sizes displayed, held in hands for scale, studio lighting, showing print quality and color accuracy",photos_standard.jpg
photos,premium,"Professional product photography of premium photo prints, professional grade paper, gallery quality, real estate portfolio display, mounted and framed options shown, elegant presentation, studio lighting",photos_premium.jpg
decals,standard,"Professional product photography of standard decals, vinyl material, real estate company logos, various sizes displayed, some applied to office door glass, showing professional appearance, commercial setting",decals_standard.jpg
decals,custom,"Professional product photography of custom decals, large format, applied to vehicle side, real estate branding prominent, outdoor setting showing scale and impact, professional installation visible",decals_custom.jpg
canvas-prints,gallery-wrap,"Professional product photography of gallery wrapped canvas, real estate property photo printed, showing wrapped edges, hanging on wall, elegant interior setting, art gallery style lighting",canvas-prints_gallery-wrap.jpg
canvas-prints,museum-quality,"Professional product photography of museum quality canvas print, premium materials, real estate architectural photography displayed, floating frame mount, upscale presentation",canvas-prints_museum-quality.jpg
commercial-signage,storefront,"Professional photography of storefront signage, large format real estate office branding, window graphics and dimensional letters combination, street view, architectural photography style",commercial-signage_storefront.jpg
commercial-signage,monument,"Professional photography of monument sign, ground-mounted structure, real estate company directory, landscaping integration, dusk lighting showing illumination, commercial property entrance",commercial-signage_monument.jpg
commercial-signage,led,"Professional photography of LED commercial sign, digital display showing property listings, real estate office exterior, evening shot with vibrant display, modern technology integration",commercial-signage_led.jpg
commercial-signage,window-graphics,"Professional photography of commercial window graphics, full coverage design, real estate services information, storefront application, showing professional branding and visibility",commercial-signage_window-graphics.jpg
commercial-signage,office,"Professional photography of office signage suite, including door signs, directional signs, and lobby displays, real estate corporate environment, cohesive branding throughout",commercial-signage_office.jpg
real-estate-business-cards,standard,"Professional photography of real estate agent business cards, agent photo and property image visible, contact information clear, held in hand with house keys, suggesting real estate context, studio lighting",real-estate-business-cards_standard.jpg
real-estate-business-cards,premium,"Professional photography of premium real estate business cards, thick cardstock with spot UV on agent photo, luxury property imagery, gold accents, showing high-end market positioning",real-estate-business-cards_premium.jpg
real-estate-business-cards,luxury,"Professional photography of luxury real estate business cards, metal or wood material, laser engraved details, ultra-premium finish, executive presentation box, high-end real estate branding",real-estate-business-cards_luxury.jpg
real-estate-lawn-signs,18x24,"Professional photography of real estate lawn sign, For Sale with agent branding, installed in front of attractive home, manicured lawn, curb appeal visible, golden hour lighting, neighborhood setting",real-estate-lawn-signs_18x24.jpg
real-estate-lawn-signs,24x36,"Professional photography of larger real estate lawn sign, commercial property listing, professional installation with riders, business district setting, showing increased visibility and impact",real-estate-lawn-signs_24x36.jpg
real-estate-lawn-signs,double-sided,"Professional photography of double-sided real estate lawn sign, For Sale on one side and agent info on reverse, corner lot installation, showing 360-degree visibility, residential neighborhood",real-estate-lawn-signs_double-sided.jpg
real-estate-banners,standard,"Professional photography of real estate banner, Open House messaging, hanging on property fence, welcoming appearance, residential setting, clear visibility, professional real estate marketing",real-estate-banners_standard.jpg
real-estate-banners,premium,"Professional photography of premium real estate banner, luxury property showcase, high-end materials and printing, estate entrance setting, showing upscale market positioning",real-estate-banners_premium.jpg
real-estate-flags,feather,"Professional photography of real estate feather flag, Open House Today message, curved design catching attention, property entrance placement, movement in breeze, inviting appearance",real-estate-flags_feather.jpg
real-estate-flags,rectangle,"Professional photography of rectangular real estate flag, agent branding and contact info, professional installation at property, business-like appearance, clear messaging",real-estate-flags_rectangle.jpg
real-estate-a-frames,standard,"Professional photography of real estate A-frame sign, Open House directional arrow, corner placement for visibility, residential neighborhood, helping buyers find property",real-estate-a-frames_standard.jpg
real-estate-a-frames,premium,"Professional photography of premium real estate A-frame, digital display or changeable message board, luxury property entrance, high-end materials, professional appearance",real-estate-a-frames_premium.jpg 